"7900","LA CHAUDIERE MILITARY CEMETERY, VIMY","France","50.38479, 2.80328"
"8000","CONTAY BRITISH CEMETERY, CONTAY","France","49.99871, 2.48277"
"8001","HARPONVILLE COMMUNAL CEMETERY","France","50.03899, 2.50202"
"8002","HARPONVILLE COMMUNAL CEMETERY EXTENSION","France","50.03912, 2.50231"
"8100","DOULLENS COMMUNAL CEMETERY EXTENSION NO.2","France","50.15628, 2.35041"
"8101","DOULLENS COMMUNAL CEMETERY EXTENSION NO.1","France","50.15521, 2.35102"
"8200","WIMEREUX COMMUNAL CEMETERY","France","50.77389, 1.61333"
"8300","LES BARAQUES MILITARY CEMETERY, SANGATTE","France","50.96004, 1.82406"
"8600","COXYDE MILITARY CEMETERY","Belgium","51.10371, 2.64303"
"8700","WARLINCOURT HALTE BRITISH CEMETERY, SAULTY","France","50.19835, 2.51891"
"8801","GUNNERS FARM MILITARY CEMETERY","Belgium","50.71816, 2.89646"
"8802","MOTOR CAR CORNER CEMETERY","Belgium","50.70948, 2.8931"
"8803","LE TOUQUET RAILWAY CROSSING CEMETERY","Belgium","50.71124, 2.91181"
"8804","CALVAIRE (ESSEX) MILITARY CEMETERY","Belgium","50.71878, 2.89843"
"8900","BELGIAN BATTERY CORNER CEMETERY","Belgium","50.83933, 2.86138"
"8901","DIVISIONAL CEMETERY","Belgium","50.8482, 2.85833"
"9001","HARINGHE (BANDAGHEM) MILITARY CEMETERY","Belgium","50.90163, 2.61485"
"9003","ABEELE AERODROME MILITARY CEMETERY","Belgium","50.81522, 2.65705"
"9004","WATOU CHURCHYARD","Belgium","50.85918, 2.61964"
"9101","HYDE PARK CORNER (ROYAL BERKS) CEMETERY","Belgium","50.73765, 2.88251"
"9102","BERKS CEMETERY EXTENSION","Belgium","50.7378, 2.88228"
"9200","LA LAITERIE MILITARY CEMETERY","Belgium","50.79125, 2.84193"
"9201","SPANBROEKMOLEN BRITISH CEMETERY","Belgium","50.77826, 2.86702"
"9202","LONE TREE CEMETERY","Belgium","50.77468, 2.86191"
"9300","MENIN ROAD SOUTH MILITARY CEMETERY","Belgium","50.8499, 2.90459"
"9400","CEMENT HOUSE CEMETERY","Belgium","50.90497, 2.90682"
"9500","YPRES RESERVOIR CEMETERY","Belgium","50.85368, 2.87716"
"9600","TALANA FARM CEMETERY","Belgium","50.88276, 2.86268"
"9601","DRAGOON CAMP CEMETERY","Belgium","50.89563, 2.8815"
"9602","RUISSEAU FARM CEMETERY","Belgium","50.91184, 2.89913"
"9700","ARTILLERY WOOD CEMETERY","Belgium","50.89966, 2.87252"
"9800","ETRETAT CHURCHYARD","France","49.70773, 0.21059"
"9801","ETRETAT CHURCHYARD EXTENSION","France","49.70756, 0.212"
