http://en.wikipedia.org/wiki/Battle_of_Hill_60_(Gallipoli),Battle_of_Hill_60_(Gallipoli),121,71,"40.2725, 26.293333"
http://en.wikipedia.org/wiki/Battle_of_Hulluch,Battle_of_Hulluch,1,1,"50.485364,2.817307"
http://en.wikipedia.org/wiki/Battle_of_Jassin,Battle_of_Jassin,52,42,"-5.066667, 39.1"
http://en.wikipedia.org/wiki/Battle_of_Jerusalem_(1917),Battle_of_Jerusalem_(1917),934,130,"31.783333, 35.216667"
http://en.wikipedia.org/wiki/Battle_of_Jutland,Battle_of_Jutland,2156,871,"56, 3"
http://en.wikipedia.org/wiki/Battle_of_Kara_Killisse,Battle_of_Kara_Killisse,28,16,"39.721667, 43.056667"
http://en.wikipedia.org/wiki/Battle_of_Kilimanjaro,Battle_of_Kilimanjaro,53,36,"-3.075833, 37.353333"
http://en.wikipedia.org/wiki/Battle_of_Kolubara,Battle_of_Kolubara,198,101,"44.65, 20.216667"
http://en.wikipedia.org/wiki/Battle_of_Koprukoy,Battle_of_Koprukoy,44,26,"39.9, 41.27"
http://en.wikipedia.org/wiki/Battle_of_Kosovo_(1915),Battle_of_Kosovo_(1915),2,2,"42.6, 20.85"
http://en.wikipedia.org/wiki/Battle_of_Krithia_Vineyard,Battle_of_Krithia_Vineyard,69,41,"40.078, 26.216"
http://en.wikipedia.org/wiki/Battle_of_Le_Cateau,Battle_of_Le_Cateau,162,71,"50.1042, 3.5445"
http://en.wikipedia.org/wiki/Battle_of_Li%C3%A8ge,Battle_of_Li%C3%A8ge,0,0,"50.6406, 5.5721"
http://en.wikipedia.org/wiki/Battle_of_Lone_Pine,Battle_of_Lone_Pine,272,132,"40.367222, 26.455"
http://en.wikipedia.org/wiki/Battle_of_Loos,Battle_of_Loos,219,151,"50.4583, 2.7942"
http://en.wikipedia.org/wiki/Battle_of_Lorraine,Battle_of_Lorraine,96,62,"49.033889, 6.661944"
http://en.wikipedia.org/wiki/Battle_of_M%C4%83r%C4%83%C5%9Fe%C5%9Fti,Battle_of_M?r??e?ti,0,0,"45.88, 27.23"
http://en.wikipedia.org/wiki/Battle_of_M%C4%83r%C4%83%C5%9Fti,Battle_of_M?r??ti,0,0,"46, 26.883333"
http://en.wikipedia.org/wiki/Battle_of_Magdhaba,Battle_of_Magdhaba,969,74,"30.883333, 34.016667"
http://en.wikipedia.org/wiki/Battle_of_Mahiwa,Battle_of_Mahiwa,34,18,"-10.35, 39.266667"
